n,p,r,s,Dinic,EK,MPM
4600,0.4,4600,690304928529,,,11.1791
4800,0.4,4800,698099231198,,,14.0683
5000,0.4,5000,271388830551,,,14.707
1000,0.4,1000,690814794246,,,0.130199
1200,0.4,1200,194991050208,,,0.295753
1400,0.4,1400,131254396859,,,0.309156
1600,0.4,1600,448039602750,,,0.712124
1800,0.4,1800,80944538098,,,0.827391
2000,0.4,2000,485416653321,,,1.16015
2200,0.4,2200,186209102422,,,1.674
2400,0.4,2400,677430738059,,,1.86171
2600,0.4,2600,512089355509,,,2.69107
2800,0.4,2800,202353647607,,,4.56876
3000,0.4,3000,937914649383,,,6.98836
3200,0.4,3200,403918315899,,,5.20539
3400,0.4,3400,151427294566,,,4.76411
3600,0.4,3600,284954361933,,,7.23738
3800,0.4,3800,490118944526,,,6.06246
4000,0.4,4000,579538230488,,,9.27702
4200,0.4,4200,790857226164,,,8.40149
4400,0.4,4400,950749550325,,,9.71536
4600,0.4,4600,451387250700,,,10.023
4800,0.4,4800,875615246644,,,9.60453
5000,0.4,5000,76505895315,,,21.5606
1000,0.4,1000,660086430252,,,0.243123
1200,0.4,1200,614575032468,,,0.402828
1400,0.4,1400,559379933305,,,0.535853
1600,0.4,1600,813587272322,,,0.502216
1800,0.4,1800,321506792053,,,1.11519
2000,0.4,2000,738507066073,,,0.649843
2200,0.4,2200,963560306437,,,1.49698
2400,0.4,2400,599626341872,,,2.04015
2600,0.4,2600,305535340981,,,1.96399
2800,0.4,2800,64566442867,,,2.71818
3000,0.4,3000,46448733481,,,4.35936
3200,0.4,3200,55904373501,,,4.5696
3400,0.4,3400,99731212840,,,4.63505
3600,0.4,3600,192871169132,,,6.37204
3800,0.4,3800,653121025211,,,6.27494
4000,0.4,4000,838743211304,,,7.81445
4200,0.4,4200,956124634606,,,8.30173
4400,0.4,4400,70573805633,,,11.1801
4600,0.4,4600,740047487830,,,13.7172
4800,0.4,4800,809771747330,,,16.1813
5000,0.4,5000,791548528670,,,15.6455
1000,0.4,1000,170858537976,,,0.142617
1200,0.4,1200,647975261101,,,0.270847
1400,0.4,1400,615073882648,,,0.406747
1600,0.4,1600,680274373951,,,0.551528
1800,0.4,1800,633767090613,,,0.944877
2000,0.4,2000,3952889650,,,1.15809
2200,0.4,2200,617766160216,,,1.50685
2400,0.4,2400,321686179923,,,1.46673
2600,0.4,2600,529351792106,,,2.30833
2800,0.4,2800,565727546847,,,2.39476
3000,0.4,3000,336872104839,,,3.0777
3200,0.4,3200,736464970125,,,3.25462
3400,0.4,3400,611215888421,,,4.42632
3600,0.4,3600,38791782687,,,5.29004
3800,0.4,3800,237485902244,,,6.59893
4000,0.4,4000,399181690813,,,6.65502
4200,0.4,4200,16981132034,,,8.12822
4400,0.4,4400,181660570199,,,9.46427
4600,0.4,4600,973517101500,,,10.4552
4800,0.4,4800,575652531575,,,12.864
5000,0.4,5000,657711053140,,,16.9675
1000,0.5,1000,877305986527,,,0.167044
1200,0.5,1200,906817347933,,,0.288736
1400,0.5,1400,679970349527,,,0.463754
1600,0.5,1600,699512586459,,,0.530921
1800,0.5,1800,388245130748,,,0.970992
2000,0.5,2000,536585011014,,,0.94217
2200,0.5,2200,888733064860,,,1.8338
2400,0.5,2400,68838037195,,,2.39438
2600,0.5,2600,740590017580,,,3.83234
2800,0.5,2800,130457144006,,,4.24313
3000,0.5,3000,249685961466,,,5.44477
3200,0.5,3200,127959164553,,,6.04641
3400,0.5,3400,472941913693,,,6.55117
3600,0.5,3600,570447679191,,,8.95723
3800,0.5,3800,302375773705,,,11.6619
4000,0.5,4000,405827311010,,,12.811
4200,0.5,4200,468574179804,,,13.8937
4400,0.5,4400,2543396927,,,19.5
4600,0.5,4600,635956628529,,,18.4904
4800,0.5,4800,28723923421,,,20.1661
5000,0.5,5000,240358247815,,,18.6225
1000,0.5,1000,21759236614,,,0.112966
1200,0.5,1200,343675920832,,,0.380383
1400,0.5,1400,386735398664,,,0.462173
1600,0.5,1600,251455607303,,,0.612003
1800,0.5,1800,134297857958,,,1.116
2000,0.5,2000,346219548670,,,1.55722
2200,0.5,2200,495534094617,,,1.98045
2400,0.5,2400,100558514562,,,2.38927
2600,0.5,2600,707240135755,,,2.34526
2800,0.5,2800,861044059354,,,3.19661
3000,0.5,3000,589351251185,,,4.28462
3200,0.5,3200,586059344646,,,4.70623
3400,0.5,3400,595344081162,,,6.87973
3600,0.5,3600,594856596607,,,8.28038
3800,0.5,3800,279753440159,,,9.41026
4000,0.5,4000,209623996940,,,9.8083
4200,0.5,4200,381931734012,,,16.5897
4400,0.5,4400,926059729582,,,13.9206
4600,0.5,4600,755873691937,,,15.4494
4800,0.5,4800,746954809601,,,19.7083
5000,0.5,5000,444781565121,,,30.2669
1000,0.5,1000,432842091298,,,0.273783
1200,0.5,1200,538167695360,,,0.294007
1400,0.5,1400,913057384125,,,0.790796
1600,0.5,1600,789497311493,,,0.652859
1800,0.5,1800,828600038637,,,1.30318
2000,0.5,2000,531612773996,,,2.12574
2200,0.5,2200,105139136696,,,2.40277
2400,0.5,2400,985065882373,,,3.05391
2600,0.5,2600,394191552191,,,2.6778
2800,0.5,2800,937825790298,,,4.37866
3000,0.5,3000,861404531837,,,5.94622
