n,p,r,s,Dinic,EK,MPM
1000,0.3,1000,528309491668,0.0558791,,
2000,0.3,2000,738888381112,0.37098,,
3000,0.3,3000,933352846454,2.20844,,
4000,0.3,4000,122796005735,1.49231,,
5000,0.3,5000,290819287391,5.23955,,
6000,0.3,6000,750238459484,5.76629,,
7000,0.3,7000,287854357118,4.93229,,
8000,0.3,8000,213941298053,8.91549,,
9000,0.3,9000,893300528963,7.78586,,
10000,0.3,10000,972876080802,65.7834,,
1000,0.3,1000,999131546298,0.0629184,,
2000,0.3,2000,37025895089,0.601034,,
3000,0.3,3000,185425243336,1.45798,,
4000,0.3,4000,153845399614,3.39145,,
5000,0.3,5000,786857975244,7.71769,,
6000,0.3,6000,537009584445,5.27112,,
7000,0.3,7000,251211465948,29.2716,,
8000,0.3,8000,289378306674,10.8335,,
9000,0.3,9000,16179350484,25.4044,,
10000,0.3,10000,525882736919,16.8329,,
1000,0.3,1000,654328629677,0.0791295,,
2000,0.3,2000,615674441115,0.134129,,
3000,0.3,3000,314919732903,3.11007,,
4000,0.3,4000,82596843755,1.03819,,
5000,0.3,5000,892623675667,2.5673,,
6000,0.3,6000,35146038347,4.21883,,
7000,0.3,7000,959464601605,6.59635,,
8000,0.3,8000,780663741448,35.5394,,
9000,0.3,9000,142905907752,27.2632,,
10000,0.3,10000,165083179899,9.53386,,
1000,0.3,1000,401688491927,0.021776,,
2000,0.3,2000,371671480891,0.185162,,
3000,0.3,3000,987822914763,2.06782,,
4000,0.3,4000,587262718171,3.13664,,
5000,0.3,5000,355267275179,1.23979,,
6000,0.3,6000,656323774024,12.3945,,
7000,0.3,7000,209488864781,8.90451,,
8000,0.3,8000,170004082993,16.0205,,
9000,0.3,9000,277950132074,9.85483,,
10000,0.3,10000,946570087450,30.8527,,
1000,0.3,1000,929546680714,0.0290545,,
2000,0.3,2000,924405978264,0.411797,,
3000,0.3,3000,920166982455,1.26403,,
4000,0.3,4000,984876507981,3.02964,,
5000,0.3,5000,544822249094,2.05006,,
6000,0.3,6000,599370541260,5.80669,,
7000,0.3,7000,989244566439,4.83675,,
8000,0.3,8000,903368190135,15.3678,,
9000,0.3,9000,92526660614,20.0552,,
10000,0.3,10000,508075866353,11.053,,
1000,0.3,1000,89046632872,0.0455974,,
2000,0.3,2000,965677568784,0.256055,,
3000,0.3,3000,951840185055,0.240358,,
4000,0.3,4000,667703706125,3.17612,,
5000,0.3,5000,981333635821,2.8732,,
6000,0.3,6000,429425562056,4.14198,,
7000,0.3,7000,902056167908,12.47,,
8000,0.3,8000,444059395882,11.3098,,
9000,0.3,9000,558787166458,48.1696,,
10000,0.3,10000,470397843734,7.4564,,
1000,0.4,1000,384965841173,0.0409928,,
2000,0.4,2000,210213385754,0.130779,,
3000,0.4,3000,648630255013,1.53148,,
4000,0.4,4000,212310079665,2.74905,,
5000,0.4,5000,535499825418,4.23656,,
6000,0.4,6000,632724395552,8.99128,,
7000,0.4,7000,699810941918,2.92271,,
8000,0.4,8000,435143156549,12.7961,,
9000,0.4,9000,93171651482,30.5892,,
10000,0.4,10000,713762387070,35.793,,
1000,0.4,1000,817308793055,0.0626987,,
2000,0.4,2000,642635073188,0.266859,,
3000,0.4,3000,599568067071,1.21767,,
4000,0.4,4000,290732207123,0.725762,,
5000,0.4,5000,567985230618,3.35692,,
6000,0.4,6000,988776880688,16.0587,,
7000,0.4,7000,465678930828,17.4926,,
8000,0.4,8000,169729956485,13.3807,,
9000,0.4,9000,762500255528,16.9032,,
10000,0.4,10000,503241402679,42.3092,,
1000,0.4,1000,895886765013,0.0209385,,
2000,0.4,2000,933407170172,0.196077,,
3000,0.4,3000,236468494726,0.799183,,
4000,0.4,4000,846064153305,2.05356,,
5000,0.4,5000,503188713359,1.86252,,
6000,0.4,6000,614561623019,3.54865,,
7000,0.4,7000,215126837075,14.3976,,
8000,0.4,8000,81020778541,20.0354,,
9000,0.4,9000,400624567967,37.4418,,
10000,0.4,10000,237375184654,37.0987,,
1000,0.4,1000,648192055871,0.113018,,
2000,0.4,2000,961714538055,0.7862,,
3000,0.4,3000,710559176377,2.6355,,
4000,0.4,4000,244763875485,3.50151,,
5000,0.4,5000,501970781940,6.96201,,
6000,0.4,6000,974077269596,3.42685,,
7000,0.4,7000,356224439882,4.93798,,
8000,0.4,8000,26119526344,11.5437,,
9000,0.4,9000,279978206552,19.6996,,
10000,0.4,10000,670388049096,23.1653,,
1000,0.4,1000,106087141840,0.0299748,,
2000,0.4,2000,22736302808,0.253884,,
3000,0.4,3000,149752210173,1.58718,,
4000,0.4,4000,790094189612,1.85417,,
5000,0.4,5000,494103361001,5.18842,,
6000,0.4,6000,416310475038,5.78184,,
7000,0.4,7000,304230068563,16.4395,,
8000,0.4,8000,879182799764,29.5342,,
9000,0.4,9000,80318450586,23.7687,,
10000,0.4,10000,552496854893,10.3671,,
1000,0.4,1000,740784017158,0.0330313,,
2000,0.4,2000,66655313073,0.169187,,
3000,0.4,3000,601026440705,1.64833,,
4000,0.4,4000,385404727059,4.25871,,
5000,0.4,5000,330898470632,2.22504,,
6000,0.4,6000,606086240578,6.41793,,
7000,0.4,7000,959002629041,9.20789,,
8000,0.4,8000,421636351822,22.1034,,
9000,0.4,9000,926794511429,8.82471,,
10000,0.4,10000,45136410256,35.0421,,
1000,0.5,1000,712255800451,0.0757776,,
2000,0.5,2000,51056434021,0.167404,,
3000,0.5,3000,653905572271,1.05096,,
4000,0.5,4000,652711711720,1.86477,,
5000,0.5,5000,439107954996,2.09325,,
6000,0.5,6000,251037800897,4.09159,,
7000,0.5,7000,356312488678,4.10721,,
8000,0.5,8000,986056875363,22.9716,,
9000,0.5,9000,198353100520,13.4916,,
10000,0.5,10000,388105896319,23.3975,,
1000,0.5,1000,752692096855,0.0833235,,
2000,0.5,2000,466625881554,0.21069,,
3000,0.5,3000,264181451181,1.18899,,
4000,0.5,4000,726175024266,2.94045,,
5000,0.5,5000,751590599690,5.48272,,
6000,0.5,6000,899437150830,8.38885,,
7000,0.5,7000,247062522844,6.30153,,
8000,0.5,8000,128389199957,21.0244,,
9000,0.5,9000,941002040824,6.01996,,
10000,0.5,10000,541889078869,9.90544,,
1000,0.5,1000,110601924897,0.0747093,,
2000,0.5,2000,294566818490,0.227837,,
3000,0.5,3000,140693477257,0.836327,,
4000,0.5,4000,8663457877,3.00263,,
5000,0.5,5000,440149869881,2.22005,,
6000,0.5,6000,29303270540,10.7034,,
7000,0.5,7000,651986270281,4.42017,,
8000,0.5,8000,614691640097,24.9142,,
9000,0.5,9000,273163434258,43.8199,,
10000,0.5,10000,637953472065,9.54031,,
1000,0.5,1000,712467090438,0.018082,,
2000,0.5,2000,137859798554,0.203724,,
3000,0.5,3000,89636660068,0.799609,,
4000,0.5,4000,425129585841,6.535,,
5000,0.5,5000,799884029452,3.33422,,
6000,0.5,6000,363573659930,6.25538,,
7000,0.5,7000,666719015047,11.0117,,
8000,0.5,8000,616944714893,8.25128,,
9000,0.5,9000,540658373182,37.434,,
10000,0.5,10000,377804100914,38.655,,
1000,0.5,1000,163362417436,0.205513,,
2000,0.5,2000,172730077012,0.415175,,
3000,0.5,3000,525767058973,1.78427,,
4000,0.5,4000,125812743859,2.23379,,
5000,0.5,5000,158169696633,2.26637,,
6000,0.5,6000,404982620591,1.67563,,
7000,0.5,7000,483723733105,20.986,,
8000,0.5,8000,554346237351,2.98293,,
9000,0.5,9000,610849384975,15.1761,,
10000,0.5,10000,305418061163,32.1178,,
1000,0.5,1000,769868329923,0.0777449,,
2000,0.5,2000,856515463570,0.170461,,
3000,0.5,3000,574197859613,1.3263,,
4000,0.5,4000,681713880923,1.45166,,
5000,0.5,5000,455870214353,2.99155,,
6000,0.5,6000,691488661096,4.28606,,
7000,0.5,7000,682104931927,6.80182,,
8000,0.5,8000,804404873063,4.47028,,
9000,0.5,9000,37220772798,7.0703,,
10000,0.5,10000,16853625724,16.6187,,
1000,0.6,1000,569556940444,0.0830461,,
2000,0.6,2000,993851767106,0.118734,,
3000,0.6,3000,311156530082,0.497869,,
4000,0.6,4000,382315847826,3.31555,,
5000,0.6,5000,624314305719,1.61174,,
6000,0.6,6000,637783413599,2.907,,
7000,0.6,7000,384677640765,9.26972,,
8000,0.6,8000,436892572188,9.68603,,
9000,0.6,9000,138097147269,20.8282,,
10000,0.6,10000,415413461049,37.2184,,
1000,0.6,1000,414174385475,0.179051,,
2000,0.6,2000,263392878958,0.16022,,
3000,0.6,3000,85403976533,0.245973,,
4000,0.6,4000,532069709916,3.1814,,
5000,0.6,5000,711800127431,2.25333,,
6000,0.6,6000,531641580867,6.83037,,
7000,0.6,7000,40736710310,3.80538,,
8000,0.6,8000,480291005910,9.57185,,
9000,0.6,9000,538931030152,9.94119,,
10000,0.6,10000,361533107026,11.8545,,
1000,0.6,1000,99858047932,0.0816245,,
2000,0.6,2000,350629724834,0.371295,,
3000,0.6,3000,157109768529,0.398733,,
4000,0.6,4000,122335378107,1.8919,,
5000,0.6,5000,937318309766,13.3676,,
6000,0.6,6000,10202663826,2.10807,,
7000,0.6,7000,752481075830,9.16493,,
8000,0.6,8000,610711920990,9.88953,,
9000,0.6,9000,633684859288,6.43338,,
10000,0.6,10000,47164937486,23.2791,,
1000,0.6,1000,35215039748,0.123604,,
2000,0.6,2000,547230066265,0.491311,,
3000,0.6,3000,374038497532,0.707487,,
4000,0.6,4000,445067803378,3.95284,,
5000,0.6,5000,288784087579,2.89329,,
6000,0.6,6000,183461025704,9.09671,,
7000,0.6,7000,503805660130,5.53251,,
8000,0.6,8000,96040753699,11.1654,,
9000,0.6,9000,84133864249,9.85764,,
10000,0.6,10000,957286009508,26.8799,,
1000,0.6,1000,450334187308,0.0425178,,
2000,0.6,2000,884347116221,0.148976,,
3000,0.6,3000,983531042679,1.1508,,
4000,0.6,4000,746222278280,1.15684,,
5000,0.6,5000,373198061492,6.70512,,
6000,0.6,6000,154301804705,4.73779,,
7000,0.6,7000,282497013217,6.50092,,
8000,0.6,8000,967438343896,5.92879,,
9000,0.6,9000,263187413746,9.11485,,
10000,0.6,10000,247035105174,17.8675,,
1000,0.6,1000,630330270934,0.0576824,,
2000,0.6,2000,205192341740,0.170259,,
3000,0.6,3000,706697273592,0.817762,,
4000,0.6,4000,49168066799,1.90171,,
5000,0.6,5000,229562543285,4.77121,,
6000,0.6,6000,110853828603,8.79007,,
7000,0.6,7000,874727877054,11.2634,,
8000,0.6,8000,970800376640,3.69041,,
9000,0.6,9000,323559593027,23.6055,,
10000,0.6,10000,653297245867,18.3933,,
1000,0.7,1000,832351403786,0.176221,,
2000,0.7,2000,68143151808,0.25182,,
3000,0.7,3000,971199865390,0.334057,,
4000,0.7,4000,577493932825,1.22578,,
5000,0.7,5000,336482588087,2.57683,,
6000,0.7,6000,497761872632,2.23345,,
7000,0.7,7000,763909491537,7.28849,,
8000,0.7,8000,143185644046,7.58174,,
9000,0.7,9000,156810067429,4.95753,,
10000,0.7,10000,226965624657,7.0494,,
1000,0.7,1000,33665250945,0.0949165,,
2000,0.7,2000,666060883110,0.27132,,
3000,0.7,3000,349582551555,0.580514,,
4000,0.7,4000,126848790661,3.06981,,
5000,0.7,5000,61677081913,2.53756,,
6000,0.7,6000,598450967674,4.63908,,
7000,0.7,7000,808064232374,7.53825,,
8000,0.7,8000,471635407047,3.25968,,
9000,0.7,9000,831918873906,5.73968,,
10000,0.7,10000,830669619980,10.3696,,
1000,0.7,1000,10872121943,0.0780135,,
2000,0.7,2000,199640579643,0.240229,,
3000,0.7,3000,432838294139,0.734084,,
4000,0.7,4000,397113343484,1.323,,
5000,0.7,5000,488340552875,3.00064,,
6000,0.7,6000,892950274843,5.42364,,
7000,0.7,7000,636025297211,3.63648,,
8000,0.7,8000,310862806312,2.91277,,
9000,0.7,9000,78141820970,23.6465,,
10000,0.7,10000,529445447849,20.8199,,
1000,0.7,1000,799598118087,0.0381073,,
2000,0.7,2000,417648791645,0.292421,,
3000,0.7,3000,960117274496,0.811664,,
4000,0.7,4000,410138870573,0.905697,,
5000,0.7,5000,842224716813,0.906741,,
6000,0.7,6000,107560879365,3.12033,,
7000,0.7,7000,44780705848,8.34894,,
8000,0.7,8000,74043903753,5.90598,,
9000,0.7,9000,371831363798,6.56833,,
10000,0.7,10000,925484203643,10.3273,,
1000,0.7,1000,185477100167,0.0378799,,
2000,0.7,2000,265742001210,0.194108,,
3000,0.7,3000,123301008627,0.502924,,
4000,0.7,4000,636652059923,1.05702,,
5000,0.7,5000,595223266044,1.46028,,
6000,0.7,6000,580915811192,5.7733,,
7000,0.7,7000,619557578779,11.9099,,
8000,0.7,8000,319504627019,4.07957,,
9000,0.7,9000,231511829746,8.44372,,
10000,0.7,10000,753497656704,8.8546,,
1000,0.7,1000,47354445330,0.021309,,
2000,0.7,2000,844729853460,0.316842,,
3000,0.7,3000,284305885944,0.646462,,
4000,0.7,4000,695320803435,1.01644,,
5000,0.7,5000,275542217983,1.57927,,
6000,0.7,6000,476428595627,3.43464,,
7000,0.7,7000,396940779538,3.33007,,
8000,0.7,8000,169522996513,7.19005,,
9000,0.7,9000,826116368373,12.8637,,
10000,0.7,10000,613880923004,8.93732,,
