n,p,r,s,Dinic,EK,MPM
1000,0.1,1000,52324812191,,,0.0340453
1000,0.1,1000,271001722116,,,0.032089
1000,0.1,1000,364213996325,,,0.0765662
1000,0.1,1000,93796979217,,,0.0253216
1000,0.1,1000,594827264200,,,0.0312354
1000,0.1,1000,732444653068,,,0.0488275
1200,0.1,1200,40817021861,,,0.04977
1200,0.1,1200,817537820202,,,0.0878274
1200,0.1,1200,380102004996,,,0.0423511
1200,0.1,1200,594348849987,,,0.0530116
1200,0.1,1200,147648622819,,,0.0342689
1200,0.1,1200,495141237054,,,0.120324
1400,0.1,1400,830327565996,,,0.0913293
1400,0.1,1400,876244192008,,,0.0369923
1400,0.1,1400,665825436862,,,0.0542988
1400,0.1,1400,309438256894,,,0.0849582
1400,0.1,1400,861955826600,,,0.136341
1400,0.1,1400,451908006613,,,0.12146
1600,0.1,1600,895269405572,,,0.209953
1600,0.1,1600,947587149953,,,0.128703
1600,0.1,1600,331004955416,,,0.204805
1600,0.1,1600,547711250175,,,0.225074
1600,0.1,1600,595747872864,,,0.20237
1600,0.1,1600,12957564550,,,0.161304
1800,0.1,1800,766241248234,,,0.236712
1800,0.1,1800,27244268491,,,0.166574
1800,0.1,1800,189195059227,,,0.206895
1800,0.1,1800,711856957285,,,0.397037
1800,0.1,1800,364539378684,,,0.146482
1800,0.1,1800,794811675759,,,0.193349
2000,0.1,2000,682048967642,,,0.24239
2000,0.1,2000,301838904746,,,0.532299
2000,0.1,2000,783486882318,,,0.435414
2000,0.1,2000,720288113394,,,0.49211
2000,0.1,2000,882896569618,,,0.300339
2000,0.1,2000,523042844560,,,0.196862
2200,0.1,2200,30972278405,,,0.667724
2200,0.1,2200,553439968473,,,0.476484
2200,0.1,2200,957187180671,,,0.468012
2200,0.1,2200,762196232987,,,0.493106
2200,0.1,2200,765355192,,,0.365407
2200,0.1,2200,732751027700,,,0.259735
2400,0.1,2400,210749675608,,,0.42953
2400,0.1,2400,566779240323,,,0.548217
2400,0.1,2400,965679499210,,,0.482807
2400,0.1,2400,857894286,,,0.315856
2400,0.1,2400,346525120746,,,0.407641
2400,0.1,2400,897306865992,,,0.459734
2600,0.1,2600,551977882846,,,0.542136
2600,0.1,2600,483755706427,,,0.50517
2600,0.1,2600,752319542338,,,0.57389
2600,0.1,2600,46661116708,,,0.823316
2600,0.1,2600,786305500725,,,0.4669
2600,0.1,2600,651865261388,,,0.878573
2800,0.1,2800,203979683320,,,0.977629
2800,0.1,2800,237236433261,,,0.491004
2800,0.1,2800,768042202657,,,0.697826
2800,0.1,2800,5856649142,,,0.310393
2800,0.1,2800,696605266089,,,0.890494
2800,0.1,2800,990546351183,,,0.905258
3000,0.1,3000,284369405097,,,0.791603
3000,0.1,3000,419230056206,,,0.818442
3000,0.1,3000,160486121424,,,0.557514
3000,0.1,3000,17857117758,,,0.487595
3000,0.1,3000,478437629703,,,0.600227
3000,0.1,3000,257238094633,,,0.972272
3200,0.1,3200,600618533828,,,1.24947
3200,0.1,3200,888470034325,,,0.884034
3200,0.1,3200,648230672434,,,1.31384
3200,0.1,3200,697221075729,,,1.08601
3200,0.1,3200,142144131884,,,0.7321
3200,0.1,3200,968394782409,,,1.22374
3400,0.1,3400,662984754688,,,0.847288
3400,0.1,3400,492977727939,,,1.95619
3400,0.1,3400,460309540572,,,0.814
3400,0.1,3400,670066430714,,,0.965538
3400,0.1,3400,679528873393,,,1.82801
3400,0.1,3400,633237441446,,,0.953084
3600,0.1,3600,479073974601,,,1.11636
3600,0.1,3600,350447965409,,,0.893057
3600,0.1,3600,10071242036,,,0.816082
3600,0.1,3600,131715558962,,,0.94539
3600,0.1,3600,363288959173,,,1.94953
3600,0.1,3600,932637870301,,,1.29773
3800,0.1,3800,206468602219,,,0.815819
3800,0.1,3800,128980823146,,,1.49573
3800,0.1,3800,395853867455,,,2.14918
3800,0.1,3800,465307886019,,,2.61836
3800,0.1,3800,855830721215,,,2.39131
3800,0.1,3800,987252959176,,,2.08028
4000,0.1,4000,159732208739,,,2.34741
4000,0.1,4000,160776466265,,,2.12981
4000,0.1,4000,492715201832,,,1.48061
4000,0.1,4000,735918763804,,,2.58099
4000,0.1,4000,546570458967,,,3.48149
4000,0.1,4000,729778665347,,,3.00396
4200,0.1,4200,232503152081,,,3.50211
4200,0.1,4200,259600295346,,,2.67995
4200,0.1,4200,178014840005,,,2.54053
4200,0.1,4200,364816215850,,,2.73382
4200,0.1,4200,432686542142,,,1.83744
4200,0.1,4200,191508376073,,,2.85149
4400,0.1,4400,830014882613,,,1.99004
4400,0.1,4400,908943587470,,,1.94215
4400,0.1,4400,16656144569,,,2.01879
4400,0.1,4400,795100247198,,,2.40978
4400,0.1,4400,76338005643,,,3.4049
4400,0.1,4400,580050320828,,,1.85807
4600,0.1,4600,861049951399,,,4.30487
4600,0.1,4600,594920473008,,,2.75058
4600,0.1,4600,400106471625,,,2.08557
4600,0.1,4600,255006336262,,,2.33804
4600,0.1,4600,353454871156,,,1.96694
4600,0.1,4600,863265952469,,,2.59184
4800,0.1,4800,900271964425,,,2.40961
4800,0.1,4800,790756932865,,,3.56773
4800,0.1,4800,882659880652,,,4.46692
4800,0.1,4800,156895380578,,,5.09013
4800,0.1,4800,901762211938,,,1.95617
4800,0.1,4800,588568780822,,,2.25886
5000,0.1,5000,347528243906,,,2.47334
5000,0.1,5000,951849445760,,,5.02327
5000,0.1,5000,645819955939,,,2.24784
5000,0.1,5000,623369674676,,,1.34685
5000,0.1,5000,41333139074,,,1.57397
5000,0.1,5000,585839691734,,,5.91254
1000,0.2,1000,924124993929,,,0.0593718
1000,0.2,1000,447717736095,,,0.0912749
1000,0.2,1000,63287772887,,,0.105498
1000,0.2,1000,656370951909,,,0.0834939
1000,0.2,1000,557457825825,,,0.0729808
1000,0.2,1000,945867002076,,,0.089344
1200,0.2,1200,308522629440,,,0.13216
1200,0.2,1200,635706165282,,,0.102537
1200,0.2,1200,921148720508,,,0.184177
1200,0.2,1200,869039021485,,,0.164551
1200,0.2,1200,891226503599,,,0.0736908
1200,0.2,1200,620954026168,,,0.0900099
1400,0.2,1400,15719391248,,,0.218573
1400,0.2,1400,900510065417,,,0.257386
1400,0.2,1400,342507770183,,,0.318275
1400,0.2,1400,984824373403,,,0.23582
1400,0.2,1400,280647491116,,,0.179209
1400,0.2,1400,746485719259,,,0.264785
1600,0.2,1600,186129963383,,,0.534367
1600,0.2,1600,592553170530,,,0.41675
1600,0.2,1600,526498735145,,,0.547405
1600,0.2,1600,102338419208,,,0.353004
1600,0.2,1600,892668135403,,,0.53905
1600,0.2,1600,350514771294,,,0.255471
1800,0.2,1800,463798039192,,,0.665552
1800,0.2,1800,667260842679,,,0.421244
1800,0.2,1800,989337446419,,,0.536814
1800,0.2,1800,41868355311,,,0.66568
1800,0.2,1800,702109300926,,,0.404683
1800,0.2,1800,235217653949,,,0.472855
2000,0.2,2000,618623084792,,,0.577003
2000,0.2,2000,815708378073,,,0.751402
2000,0.2,2000,802470129625,,,0.726848
2000,0.2,2000,231947139219,,,1.02125
2000,0.2,2000,802589472972,,,0.392831
2000,0.2,2000,743385762136,,,0.822665
2200,0.2,2200,732417381892,,,0.843607
2200,0.2,2200,774656662015,,,0.921454
2200,0.2,2200,937445543965,,,0.942281
2200,0.2,2200,348856925554,,,0.739806
2200,0.2,2200,254520889954,,,0.91199
2200,0.2,2200,79328577298,,,0.746397
2400,0.2,2400,822097052149,,,0.919056
2400,0.2,2400,580584258715,,,0.696026
2400,0.2,2400,384683873593,,,0.739634
2400,0.2,2400,684860903469,,,0.984913
2400,0.2,2400,888141185298,,,1.25157
2400,0.2,2400,826174636991,,,1.01094
2600,0.2,2600,182007289136,,,1.75859
2600,0.2,2600,458230324670,,,1.27782
2600,0.2,2600,610491922923,,,0.826181
2600,0.2,2600,194189840704,,,0.584822
2600,0.2,2600,803358035500,,,0.651354
2600,0.2,2600,217513754836,,,0.974657
2800,0.2,2800,474659123258,,,2.56902
2800,0.2,2800,959535815481,,,0.933699
2800,0.2,2800,623626767605,,,1.27746
2800,0.2,2800,31108700273,,,0.644244
2800,0.2,2800,255134920905,,,0.991261
2800,0.2,2800,599639405791,,,1.61412
3000,0.2,3000,188259274973,,,1.89583
3000,0.2,3000,633092908710,,,1.41019
3000,0.2,3000,537383808027,,,1.49755
3000,0.2,3000,287168106033,,,1.97813
3000,0.2,3000,390166669720,,,2.12641
3000,0.2,3000,673533936267,,,2.1089
3200,0.2,3200,305227611012,,,0.832344
3200,0.2,3200,630971366741,,,0.696261
3200,0.2,3200,566369971378,,,1.52763
3200,0.2,3200,179783368967,,,3.331
3200,0.2,3200,645205504603,,,0.702455
3200,0.2,3200,252854559900,,,1.05854
3400,0.2,3400,410309107586,,,1.77014
3400,0.2,3400,605585192047,,,2.66052
3400,0.2,3400,940275397540,,,1.63119
3400,0.2,3400,97788329354,,,1.59114
3400,0.2,3400,653779293097,,,2.69363
3400,0.2,3400,956894288868,,,3.51588
3600,0.2,3600,413995556824,,,2.81561
3600,0.2,3600,812019897626,,,2.82773
3600,0.2,3600,884306387147,,,2.62674
3600,0.2,3600,578818414102,,,3.08972
3600,0.2,3600,195254154723,,,3.26558
3600,0.2,3600,890652477998,,,2.77442
3800,0.2,3800,736433619860,,,3.35014
3800,0.2,3800,47366794412,,,4.77907
3800,0.2,3800,145828004816,,,3.39937
3800,0.2,3800,758062295776,,,1.79092
3800,0.2,3800,643591150813,,,2.5524
3800,0.2,3800,261588590170,,,4.601
4000,0.2,4000,950632608700,,,2.1917
4000,0.2,4000,37582707864,,,3.00077
4000,0.2,4000,849878916497,,,2.68
4000,0.2,4000,456182882632,,,1.99531
4000,0.2,4000,665996094627,,,1.59083
4000,0.2,4000,160078782250,,,3.1471
4200,0.2,4200,561872550178,,,3.73195
4200,0.2,4200,886653490711,,,4.38574
4200,0.2,4200,562977263511,,,3.11433
4200,0.2,4200,916245125493,,,3.99214
4200,0.2,4200,248775837553,,,4.13121
4200,0.2,4200,446371729321,,,4.21575
4400,0.2,4400,649642233386,,,4.21671
4400,0.2,4400,569468304636,,,2.79537
4400,0.2,4400,140346002388,,,4.70696
4400,0.2,4400,316715102301,,,2.5958
4400,0.2,4400,834642109925,,,2.26039
4400,0.2,4400,547382150460,,,2.39707
4600,0.2,4600,65811528380,,,6.14497
4600,0.2,4600,186778313105,,,4.04007
4600,0.2,4600,579741390935,,,4.827
4600,0.2,4600,986890018971,,,3.47804
4600,0.2,4600,170726156372,,,4.85584
4600,0.2,4600,289817501257,,,7.61272
4800,0.2,4800,958724412786,,,6.26436
4800,0.2,4800,713709526124,,,5.03221
4800,0.2,4800,871514982541,,,6.66063
4800,0.2,4800,425281875017,,,4.58956
4800,0.2,4800,122650871560,,,5.69606
4800,0.2,4800,672955648760,,,6.08292
5000,0.2,5000,805515805218,,,7.01248
5000,0.2,5000,418553438055,,,5.38686
5000,0.2,5000,643927089666,,,4.48369
5000,0.2,5000,428942598486,,,6.48862
5000,0.2,5000,903479305612,,,4.43576
5000,0.2,5000,808693696428,,,5.53353
1000,0.3,1000,121362979585,,,0.0856943
1000,0.3,1000,940856276459,,,0.175364
