n,p,r,s,Dinic,EK,MPM
875,0.4,1780,71160,0.0179644,1.67213,0.0767159
875,0.5,1800,21248,0.0658604,5.58617,0.191729
875,0.6,1820,13245,0.0146444,5.03381,0.146623
925,0.1,1840,36356,0.0042767,0.254055,0.0215569
925,0.2,1860,56865,0.021291,0.907401,0.0920381
925,0.3,1880,14876,0.0167277,1.38805,0.0449514
925,0.4,1900,71187,0.0203845,2.94276,0.0520388
925,0.5,1920,21578,0.052058,5.79988,0.134473
925,0.6,1920,15356,0.0180346,8.11181,0.145446
950,0.1,1920,36476,0.0088014,0.223611,0.0540226
950,0.2,1940,56476,0.0156633,0.507569,0.0325378
950,0.3,1960,14467,0.0150384,1.23709,0.0461749
950,0.4,1960,74760,0.0522159,5.691,0.139679
950,0.5,1980,26248,0.0285197,3.6454,0.140147
950,0.6,2000,43245,0.0369523,6.48111,0.115674
975,0.1,2020,36245,0.0069221,0.156755,0.0299848
975,0.2,2040,56253,0.0175499,0.93279,0.0470907
975,0.3,2060,25281,0.0252896,0.761097,0.112918
975,0.4,2060,51160,0.110904,5.43,0.209451
975,0.5,2080,21248,0.0160398,3.53361,0.0917507
975,0.6,2100,12545,0.0294239,5.37169,0.138856
1000,0.1,2100,36054,0.0047532,0.0729633,0.0274604
1000,0.2,2120,56852,0.0179326,1.07536,0.0546713
1000,0.3,2140,14281,0.0124177,1.73014,0.0467289
1000,0.4,2140,71470,0.0187936,1.9446,0.0746166
1000,0.5,2180,21448,0.0338898,6.10031,0.11433
1000,0.6,2200,13745,0.0394584,11.6465,0.138215
